~id,~label,~from,~to,start_time:string,end_time:string,duration:string,caller_location:string,callee_location:string,cost:float,service_provider_id:string,billing_indicator:string,call_status:string,rate_plan:string,currency:string,caller_state:string,callee_state:string,caller_zipcode:string,callee_zipcode:string,caller_latitude:float,caller_long:float,callee_latitude:float,callee_long:float,caller_country:string,callee_country:string
7371354,voice,1011231015,1011231001,2024-08-15 09:56:09.643867,2024-08-15 10:17:15.643867,0:21:06,Aldie,Lubbock,1.76,SP004,Non-Billable,Missed,EssentialsSaver,USD,Virginia,Texas,20105,79457,38.9761,-77.645,33.5657,-101.8879,United States,United States
8353897,voice,1011231010,1011231001,2024-08-15 09:32:09.767474,2024-08-15 10:00:17.767474,0:28:08,Golden City,Chauvin,4.05,SP001,Billable,Missed,Essentials,USD,Missouri,Louisiana,64748,70344,37.3931,-94.0942,29.4455,-90.5939,United States,United States
1104061,sms,1011231015,1011231007,2024-08-15 09:10:09.890939,2024-08-15 09:37:48.890939,0:27:39,Eden Valley,Sunrise,0.89,SP004,Non-Billable,Failed,Go5GPlus,USD,Minnesota,Alaska,55329,99605,45.3255,-94.5456,60.8701,-149.4678,United States,United States
6735562,sms,1011231017,1011231005,2024-08-15 09:12:10.015212,2024-08-15 09:18:34.015212,0:06:24,Brisbane,Thermalito,2.09,SP001,Non-Billable,Failed,Go5G,USD,California,California,94005,95965,37.6902,-122.4021,39.4909,-121.615,United States,United States
4821480,sms,1011231003,1011231008,2024-08-15 09:17:10.140244,2024-08-15 10:06:26.140244,0:49:16,Rye,Willis,2.83,SP001,Billable,Answered,Essentials,USD,Arizona,Kansas,85541,66434,34.0979,-111.3542,39.7226,-95.5058,United States,United States
9855093,sms,1011231007,1011231005,2024-08-15 10:01:10.264485,2024-08-15 11:00:39.264485,0:59:29,Tanacross,Haworth,1.13,SP003,Billable,Answered,Go5G,USD,Alaska,Oklahoma,99776,74740,63.3523,-143.4318,33.8405,-94.6571,United States,United States
1479029,sms,1011231012,1011231022,2024-08-15 10:05:10.388060,2024-08-15 10:11:01.388060,0:05:51,Aulander,Seaman,1.27,SP001,Non-Billable,Failed,Essentials,USD,North Carolina,Ohio,27805,45679,36.228,-77.1136,38.937,-83.5753,United States,United States
6307637,voice,1011231001,1011231014,2024-08-15 10:00:10.513154,2024-08-15 10:52:44.513154,0:52:34,Heyworth,Paintsville,1.28,SP003,Billable,Busy,Go5GPlus,USD,Illinois,Kentucky,61745,41222,40.3138,-88.9928,37.8163,-82.8089,United States,United States
6075053,voice,1011231003,1011231005,2024-08-15 10:05:10.637520,2024-08-15 10:52:37.637520,0:47:27,Lathrop,Cove Neck,4.01,SP004,Billable,Failed,EssentialsSaver,USD,Missouri,New York,64465,11771,39.5567,-94.3077,40.884,-73.5002,United States,United States
9997086,voice,1011231010,1011231014,2024-08-15 10:07:10.763412,2024-08-15 10:20:35.763412,0:13:25,Bearcreek,Channelview,4.36,SP003,Non-Billable,Failed,Go5G,USD,Montana,Texas,59007,77530,45.1606,-109.1575,29.7914,-95.1144,United States,United States
5594009,voice,1011231004,1011231011,2024-08-15 09:26:10.888398,2024-08-15 09:29:52.888398,0:03:42,Pottsville,Reidsville,1.04,SP001,Non-Billable,Missed,EssentialsSaver,USD,Arkansas,Georgia,72802,30453,35.2312,-93.0654,32.0871,-82.1244,United States,United States
8179560,voice,1011231005,1011231014,2024-08-15 10:01:11.012760,2024-08-15 10:08:04.012760,0:06:53,Deweyville,Bruning,4.44,SP001,Billable,Missed,Go5G,USD,Utah,Nebraska,84302,68322,41.693,-112.0883,40.3358,-97.5647,United States,United States
8753497,voice,1011231010,1011231021,2024-08-15 10:07:11.135956,2024-08-15 10:38:01.135956,0:30:50,Guymon,Blissfield,1.45,SP003,Non-Billable,Busy,Go5GPlus,USD,Oklahoma,Michigan,73942,49228,36.6903,-101.4774,41.8311,-83.8635,United States,United States
9353567,sms,1011231013,1011231021,2024-08-15 09:42:11.259708,2024-08-15 10:22:18.259708,0:40:07,Beach City,Wanamassa,3.08,SP001,Billable,Failed,Go5G,USD,Ohio,New Jersey,44608,07712,40.6531,-81.5795,40.2366,-74.0294,United States,United States
1747555,voice,1011231010,1011231004,2024-08-15 09:25:11.382343,2024-08-15 10:19:42.382343,0:54:31,Torrey,McKay,2.29,SP004,Non-Billable,Busy,Go5G,USD,Utah,Oregon,84775,97868,38.3078,-111.4269,45.4923,-118.6842,United States,United States
4027967,sms,1011231019,1011231006,2024-08-15 09:28:11.507418,2024-08-15 10:02:49.507418,0:34:38,Bassfield,Cambridge Springs,2.5,SP001,Non-Billable,Missed,Go5G,USD,Mississippi,Pennsylvania,39421,16403,31.4959,-89.7449,41.802,-80.0598,United States,United States
6973084,sms,1011231018,1011231010,2024-08-15 09:51:11.638545,2024-08-15 10:19:32.638545,0:28:21,Ridge Spring,Quarryville,1.6,SP002,Billable,Failed,EssentialsSaver,USD,South Carolina,Pennsylvania,29129,17566,33.8453,-81.6617,39.8957,-76.1617,United States,United States
9524654,sms,1011231005,1011231014,2024-08-15 10:01:11.777701,2024-08-15 10:14:31.777701,0:13:20,Arthur,Lu Verne,1.29,SP004,Non-Billable,Missed,Go5G,USD,Nebraska,Iowa,69121,50560,41.5718,-101.6923,42.9095,-94.0836,United States,United States
7052611,sms,1011231020,1011231004,2024-08-15 09:52:11.912137,2024-08-15 09:56:19.912137,0:04:08,Bluffview,Slana,1.31,SP002,Billable,Answered,Essentials,USD,Wisconsin,Alaska,53951,99586,43.3641,-89.773,62.6294,-143.567,United States,United States
3203024,sms,1011231008,1011231020,2024-08-15 09:53:12.046825,2024-08-15 10:05:23.046825,0:12:11,Riverview,Carbondale,3.69,SP004,Non-Billable,Failed,Go5GPlus,USD,Alabama,Kansas,36426,66414,31.0587,-87.0709,38.8192,-95.6932,United States,United States
7013360,voice,1011231016,1011231003,2024-08-15 10:08:12.179650,2024-08-15 10:20:32.179650,0:12:20,Prospect,Edwardsport,1.93,SP001,Billable,Missed,Go5GNext,USD,Tennessee,Indiana,38477,47528,35.0219,-86.999,38.8125,-87.2513,United States,United States
1961688,voice,1011231006,1011231022,2024-08-15 09:48:12.310006,2024-08-15 10:46:27.310006,0:58:15,Bolingbrook,Camuy,3.98,SP001,Non-Billable,Answered,Go5GPlus,USD,Illinois,Puerto Rico,60440,00627,41.6901,-88.1021,18.4825,-66.8501,United States,United States
4384575,sms,1011231013,1011231017,2024-08-15 09:21:12.488807,2024-08-15 09:31:15.488807,0:10:03,Mobeetie,Wauneta,3.93,SP001,Billable,Failed,Go5GNext,USD,Texas,Nebraska,79061,69045,35.5291,-100.4394,40.4164,-101.3766,United States,United States
8250810,voice,1011231010,1011231009,2024-08-15 09:29:12.621098,2024-08-15 10:16:41.621098,0:47:29,Newton Falls,Douds,2.79,SP001,Billable,Busy,Go5GNext,USD,Ohio,Iowa,44444,52551,41.1889,-80.9711,40.8438,-92.0764,United States,United States
4764154,sms,1011231016,1011231000,2024-08-15 09:15:12.754873,2024-08-15 09:37:35.754873,0:22:23,Littlejohn Island,Pin Oak Acres,3.75,SP004,Non-Billable,Missed,EssentialsSaver,USD,Maine,Oklahoma,04096,74337,43.7599,-70.1284,36.1226,-95.2889,United States,United States
5671641,sms,1011231016,1011231010,2024-08-15 09:43:12.882098,2024-08-15 10:30:32.882098,0:47:20,Spring Valley,Irvine,0.83,SP001,Billable,Busy,Go5GPlus,USD,Ohio,Kentucky,45370,40336,39.6102,-84.007,37.6964,-83.9678,United States,United States
2081731,sms,1011231008,1011231018,2024-08-15 09:36:13.018558,2024-08-15 10:19:52.018558,0:43:39,Plain,Siesta Acres,3.81,SP001,Non-Billable,Answered,Go5GPlus,USD,Wisconsin,Texas,53577,78852,43.2779,-90.0423,28.7564,-100.491,United States,United States
6326366,voice,1011231006,1011231007,2024-08-15 10:05:13.152487,2024-08-15 11:03:47.152487,0:58:34,Chadwick,East Bangor,0.95,SP003,Non-Billable,Missed,Go5GPlus,USD,Illinois,Pennsylvania,61014,18013,42.0142,-89.8885,40.8811,-75.1861,United States,United States
3504748,sms,1011231019,1011231012,2024-08-15 09:37:13.284253,2024-08-15 10:28:00.284253,0:50:47,Colquitt,Golden Hills,4.53,SP001,Non-Billable,Answered,Essentials,USD,Georgia,California,39837,93561,31.1741,-84.7319,35.1409,-118.4968,United States,United States
6950237,sms,1011231006,1011231004,2024-08-15 09:34:13.410792,2024-08-15 10:29:48.410792,0:55:35,Whiteman AFB,Dadeville,1.91,SP001,Billable,Answered,EssentialsSaver,USD,Missouri,Missouri,65305,65635,38.7302,-93.5589,37.4793,-93.6739,United States,United States
7171647,sms,1011231013,1011231015,2024-08-15 09:24:13.538973,2024-08-15 09:24:43.538973,0:00:30,Timberline-Fernwood,Brushy,3.46,SP001,Non-Billable,Answered,Essentials,USD,Arizona,Oklahoma,86004,74955,35.3168,-111.5507,35.5578,-94.7434,United States,United States
7811286,voice,1011231002,1011231010,2024-08-15 09:56:13.667274,2024-08-15 10:11:39.667274,0:15:26,Slocomb,Mountain Mesa,0.44,SP003,Billable,Failed,EssentialsSaver,USD,Alabama,California,36349,93240,31.1103,-85.5954,35.6411,-118.4047,United States,United States
6237605,sms,1011231001,1011231008,2024-08-15 09:57:13.793014,2024-08-15 10:24:15.793014,0:27:02,Newcomb,Sun City,3.89,SP003,Non-Billable,Answered,Go5GNext,USD,New Mexico,Kansas,87455,67143,36.2852,-108.7116,37.3785,-98.9166,United States,United States
8462951,voice,1011231014,1011231018,2024-08-15 09:21:13.917298,2024-08-15 10:03:57.917298,0:42:44,Media,Justice,3.48,SP003,Billable,Failed,Go5GPlus,USD,Illinois,West Virginia,61460,24851,40.7694,-90.8327,37.5993,-81.8381,United States,United States
8098684,voice,1011231005,1011231006,2024-08-15 09:15:14.040805,2024-08-15 09:17:29.040805,0:02:15,Zebulon,Cave Spring,2.7,SP004,Billable,Answered,Go5GPlus,USD,Georgia,Oklahoma,30295,74931,33.093,-84.3427,35.7292,-94.7577,United States,United States
6879967,sms,1011231000,1011231017,2024-08-15 09:15:14.167225,2024-08-15 09:16:56.167225,0:01:42,Spring Mill,Broadlands,4.04,SP001,Billable,Failed,EssentialsSaver,USD,Kentucky,Illinois,40228,61816,38.1436,-85.6315,39.9087,-87.9971,United States,United States
4343889,voice,1011231011,1011231020,2024-08-15 09:55:14.294732,2024-08-15 10:25:18.294732,0:30:04,Mount Lebanon,Woolsey,0.85,SP002,Billable,Answered,Go5GNext,USD,Louisiana,Georgia,71028,30215,32.5053,-93.0499,33.3626,-84.4113,United States,United States
8223985,sms,1011231003,1011231011,2024-08-15 09:40:14.419618,2024-08-15 10:33:36.419618,0:53:22,Wheeler AFB,Canada Creek Ranch,1.04,SP003,Billable,Failed,Go5GNext,USD,Hawaii,Michigan,96854,49709,21.4756,-158.0352,45.1738,-84.2128,United States,United States
2925717,voice,1011231020,1011231022,2024-08-15 09:50:14.543695,2024-08-15 10:22:26.543695,0:32:12,Eudora,Mound,2.84,SP002,Non-Billable,Busy,Essentials,USD,Mississippi,Louisiana,38641,71282,34.831,-90.1488,32.333,-91.0241,United States,United States
4172899,sms,1011231006,1011231019,2024-08-15 09:39:14.666944,2024-08-15 10:30:58.666944,0:51:44,Red Corral,Mount Plymouth,1.28,SP002,Billable,Answered,Go5GNext,USD,California,Florida,95666,32776,38.4121,-120.6072,28.8024,-81.5351,United States,United States
4179559,voice,1011231002,1011231006,2024-08-15 09:31:14.790711,2024-08-15 09:47:11.790711,0:15:57,Blairs,Bunker Hill Village,3.99,SP003,Non-Billable,Failed,Essentials,USD,Virginia,Texas,24527,77024,36.6958,-79.3774,29.7647,-95.5317,United States,United States
7555833,voice,1011231017,1011231010,2024-08-15 09:28:14.914727,2024-08-15 09:53:46.914727,0:25:32,Central Point,Woodville,4.68,SP002,Billable,Failed,Go5GNext,USD,Oregon,Georgia,97502,30669,42.3764,-122.9111,33.6713,-83.1068,United States,United States
9271777,sms,1011231003,1011231012,2024-08-15 09:27:15.040408,2024-08-15 10:11:58.040408,0:44:43,Darlington,Rio Rancho Estates,4.05,SP003,Non-Billable,Busy,EssentialsSaver,USD,Missouri,New Mexico,64438,87124,40.1981,-94.3997,35.3004,-106.7985,United States,United States
1380104,voice,1011231001,1011231021,2024-08-15 10:00:15.164848,2024-08-15 10:25:59.164848,0:25:44,Brook,Fairborn,4.38,SP004,Non-Billable,Failed,EssentialsSaver,USD,Indiana,Ohio,47922,45435,40.8664,-87.3653,39.801,-84.0094,United States,United States
1411083,voice,1011231006,1011231021,2024-08-15 09:21:15.288274,2024-08-15 10:15:53.288274,0:54:38,East St. Louis,Kaaawa,3.27,SP004,Billable,Failed,EssentialsSaver,USD,Illinois,Hawaii,62203,96730,38.6155,-90.1304,21.5485,-157.8534,United States,United States
9803029,sms,1011231007,1011231006,2024-08-15 09:40:15.413067,2024-08-15 10:10:35.413067,0:30:20,Combee Settlement,Tanglewilde,3.22,SP002,Non-Billable,Answered,EssentialsSaver,USD,Florida,Washington,33801,98503,28.0597,-81.9051,47.0512,-122.7809,United States,United States
8533240,sms,1011231000,1011231018,2024-08-15 09:50:15.537848,2024-08-15 10:31:38.537848,0:41:23,Owensboro,Mosheim,3.12,SP004,Non-Billable,Failed,EssentialsSaver,USD,Kentucky,Texas,42301,76689,37.7575,-87.1172,31.6304,-97.6002,United States,United States
9759817,sms,1011231014,1011231001,2024-08-15 09:11:15.666206,2024-08-15 10:02:07.666206,0:50:52,Sigurd,Moapa Valley,1.49,SP001,Non-Billable,Missed,Go5GNext,USD,Utah,Nevada,84657,89040,38.8494,-111.968,36.6078,-114.4566,United States,United States
7118081,sms,1011231018,1011231003,2024-08-15 09:16:15.798369,2024-08-15 10:06:35.798369,0:50:20,South Wenatchee,Hetland,0.57,SP001,Non-Billable,Missed,EssentialsSaver,USD,Washington,South Dakota,98801,57212,47.3885,-120.2829,44.3772,-97.2347,United States,United States
7369029,voice,1011231008,1011231011,2024-08-15 09:48:15.930730,2024-08-15 10:36:24.930730,0:48:09,Burna,Weldona,3.55,SP002,Billable,Busy,Essentials,USD,Kentucky,Colorado,42028,80653,37.2456,-88.3589,40.3484,-103.9693,United States,United States
5707641,sms,1011231004,1011231003,2024-08-15 09:59:16.063864,2024-08-15 10:11:02.063864,0:11:46,Pontoon Beach,Alcalde,2.61,SP002,Billable,Busy,EssentialsSaver,USD,Illinois,New Mexico,62040,87511,38.7208,-90.0609,36.0854,-106.0575,United States,United States
6765966,voice,1011231001,1011231004,2024-08-15 10:02:16.196850,2024-08-15 10:28:15.196850,0:25:59,Winside,Buell,3.19,SP003,Billable,Missed,EssentialsSaver,USD,Nebraska,Missouri,68790,63361,42.1773,-97.1751,39.0328,-91.4407,United States,United States
8357769,sms,1011231021,1011231006,2024-08-15 09:24:16.329244,2024-08-15 09:38:35.329244,0:14:19,Idylwood,Orme,3.21,SP003,Billable,Failed,Go5GPlus,USD,Virginia,Tennessee,22043,37380,38.8896,-77.2056,35.0147,-85.8048,United States,United States
1261255,sms,1011231010,1011231021,2024-08-15 09:10:16.461548,2024-08-15 09:43:51.461548,0:33:35,Belleview,Goldsboro,1.08,SP001,Non-Billable,Busy,Go5GPlus,USD,Kentucky,Maryland,41005,21636,38.9793,-84.8249,39.0316,-75.7821,United States,United States
5736539,sms,1011231004,1011231003,2024-08-15 09:30:16.594726,2024-08-15 10:29:58.594726,0:59:42,Climax,Barrington Hills,2.03,SP003,Non-Billable,Missed,Go5GNext,USD,Kansas,Illinois,67137,60011,37.7191,-96.224,42.1399,-88.2034,United States,United States
9541234,sms,1011231008,1011231010,2024-08-15 09:29:16.727494,2024-08-15 10:08:24.727494,0:39:08,Hawkins,Klemme,0.17,SP002,Billable,Failed,Go5G,USD,Wisconsin,Iowa,54530,50449,45.5115,-90.7148,43.0097,-93.6013,United States,United States
2610587,voice,1011231003,1011231020,2024-08-15 09:20:16.857650,2024-08-15 09:51:05.857650,0:30:49,Kaunakakai,Pretty Prairie,3.36,SP001,Non-Billable,Failed,Go5GPlus,USD,Hawaii,Kansas,96748,67570,21.0905,-156.9981,37.78,-98.0224,United States,United States
2991993,sms,1011231013,1011231009,2024-08-15 09:52:16.990178,2024-08-15 10:25:12.990178,0:32:56,Platte Woods,Angola,2.49,SP002,Billable,Busy,Go5GNext,USD,Missouri,New York,64151,14006,39.2289,-94.6521,42.6379,-79.0295,United States,United States
5727384,voice,1011231010,1011231002,2024-08-15 09:57:17.118844,2024-08-15 10:48:53.118844,0:51:36,North San Juan,Bluejacket,4.92,SP004,Billable,Answered,Go5G,USD,California,Oklahoma,95960,74333,39.3719,-121.106,36.8003,-95.074,United States,United States
5358802,sms,1011231002,1011231003,2024-08-15 09:32:17.248017,2024-08-15 10:29:00.248017,0:56:43,Green Level,South Huntington,4.32,SP003,Non-Billable,Busy,Go5G,USD,North Carolina,New York,27217,11746,36.1233,-79.3463,40.8225,-73.3921,United States,United States
3288110,voice,1011231017,1011231022,2024-08-15 09:59:17.372945,2024-08-15 10:56:17.372945,0:57:00,Keno,Fostoria,3.94,SP001,Non-Billable,Missed,Go5G,USD,Oregon,Pennsylvania,97627,16686,42.1309,-121.928,40.6191,-78.3198,United States,United States
9754180,voice,1011231011,1011231011,2024-08-15 09:58:17.504286,2024-08-15 10:17:14.504286,0:18:57,Tigard,Pabellones,0.44,SP002,Billable,Answered,Go5G,USD,Oregon,Puerto Rico,97281,00949,45.4237,-122.7845,18.4412,-66.2156,United States,United States
5748029,voice,1011231013,1011231018,2024-08-15 09:34:17.632577,2024-08-15 10:32:44.632577,0:58:27,Oakley,Chicago Heights,2.46,SP003,Billable,Answered,Essentials,USD,Wyoming,Illinois,83101,60411,41.751,-110.5261,41.51,-87.6345,United States,United States
4899486,voice,1011231010,1011231012,2024-08-15 09:20:17.762975,2024-08-15 09:56:30.762975,0:36:13,Mirrormont,Elmsford,2.53,SP004,Non-Billable,Missed,Go5GNext,USD,Washington,New York,98027,10523,47.4616,-121.9937,41.0541,-73.8143,United States,United States
5012174,sms,1011231022,1011231002,2024-08-15 09:20:17.895902,2024-08-15 09:44:32.895902,0:24:15,Piñon Hills,Gerrard,4.56,SP003,Non-Billable,Missed,Essentials,USD,California,Colorado,92371,81154,34.4437,-117.6214,37.6783,-106.5753,United States,United States
9137512,voice,1011231001,1011231015,2024-08-15 09:54:18.021679,2024-08-15 09:58:25.021679,0:04:07,Pico Rivera,Mad River,1.41,SP003,Non-Billable,Missed,Go5GNext,USD,California,California,90661,95552,33.9901,-118.0888,40.4325,-123.492,United States,United States
1395197,voice,1011231000,1011231005,2024-08-15 09:37:18.147831,2024-08-15 10:13:34.147831,0:36:16,Port Reading,South Pittsburg,2.33,SP003,Billable,Busy,Go5G,USD,New Jersey,Tennessee,07064,37380,40.5685,-74.2469,35.0111,-85.7183,United States,United States
7354122,voice,1011231022,1011231004,2024-08-15 09:31:18.282298,2024-08-15 10:27:08.282298,0:55:50,Pine,Cook,0.15,SP002,Non-Billable,Busy,Go5G,USD,Arizona,Nebraska,85544,68329,34.3788,-111.4574,40.5105,-96.1619,United States,United States
1028664,sms,1011231017,1011231004,2024-08-15 09:56:18.412987,2024-08-15 10:44:37.412987,0:48:19,Lake Ann,McKittrick,2.09,SP004,Billable,Missed,Essentials,USD,Michigan,Missouri,49650,65041,44.7251,-85.8451,38.7387,-91.4443,United States,United States
5177022,sms,1011231015,1011231021,2024-08-15 09:28:18.539393,2024-08-15 09:57:24.539393,0:29:06,Westville,Fairchild AFB,4.4,SP004,Non-Billable,Missed,EssentialsSaver,USD,Florida,Washington,32464,99011,30.7697,-85.8465,47.6187,-117.6484,United States,United States
9401754,voice,1011231005,1011231007,2024-08-15 09:11:18.665899,2024-08-15 09:23:03.665899,0:11:45,Poetry,Villa Pancho,1.05,SP001,Non-Billable,Missed,EssentialsSaver,USD,Texas,Texas,75160,78521,32.8257,-96.2458,25.8844,-97.4157,United States,United States
6793384,sms,1011231021,1011231010,2024-08-15 09:24:18.791391,2024-08-15 10:08:00.791391,0:43:42,Colton,West Point,4.54,SP002,Billable,Missed,Essentials,USD,Washington,Arkansas,99113,72143,46.5675,-117.1284,35.2034,-91.61,United States,United States
1510190,sms,1011231021,1011231013,2024-08-15 09:21:18.916259,2024-08-15 09:30:13.916259,0:08:55,Doon,Freistatt,4.39,SP002,Billable,Answered,Essentials,USD,Iowa,Missouri,51235,65654,43.279,-96.2329,37.0213,-93.8976,United States,United States
5158261,sms,1011231002,1011231017,2024-08-15 09:41:19.040401,2024-08-15 10:27:19.040401,0:46:00,Rodessa,Captains Cove,2.03,SP004,Billable,Missed,Go5G,USD,Louisiana,Virginia,71069,23356,32.9735,-93.9966,38.0003,-75.4173,United States,United States
7133533,voice,1011231008,1011231005,2024-08-15 09:47:19.167612,2024-08-15 10:34:26.167612,0:47:07,Mont Clare,Bandon,3.85,SP002,Non-Billable,Missed,Go5GPlus,USD,Pennsylvania,Oregon,19453,97411,40.1378,-75.4983,43.1141,-124.4158,United States,United States
4300209,sms,1011231011,1011231000,2024-08-15 09:40:19.295744,2024-08-15 09:54:00.295744,0:13:41,Tullahassee,Porterdale,3.04,SP004,Non-Billable,Busy,Go5GNext,USD,Oklahoma,Georgia,74454,30016,35.8406,-95.4383,33.5739,-83.8941,United States,United States
4620488,sms,1011231018,1011231013,2024-08-15 09:49:19.420279,2024-08-15 10:01:54.420279,0:12:35,Ellendale,St. Matthews,1.04,SP003,Non-Billable,Busy,EssentialsSaver,USD,Minnesota,South Carolina,56026,29135,43.8727,-93.2993,33.664,-80.778,United States,United States
9780622,voice,1011231010,1011231010,2024-08-15 09:59:19.545101,2024-08-15 10:40:57.545101,0:41:38,Union Springs,Foreman,2.31,SP001,Billable,Failed,Go5GNext,USD,New York,Arkansas,13160,71836,42.8457,-76.6909,33.7198,-94.3979,United States,United States
3299733,voice,1011231005,1011231015,2024-08-15 09:30:19.669253,2024-08-15 10:21:38.669253,0:51:19,Boulder Hill,Sunset Village,2.55,SP001,Non-Billable,Failed,EssentialsSaver,USD,Illinois,Georgia,60538,30286,41.7113,-88.3353,32.8946,-84.4057,United States,United States
3365290,voice,1011231008,1011231002,2024-08-15 09:55:19.794558,2024-08-15 10:02:14.794558,0:06:55,Williams Acres,Weissport,2.34,SP004,Non-Billable,Failed,Go5G,USD,New Mexico,Pennsylvania,87301,18235,35.4969,-108.8699,40.8289,-75.701,United States,United States
7798408,sms,1011231017,1011231012,2024-08-15 10:04:19.927223,2024-08-15 10:23:02.927223,0:18:43,Glennallen,Abingdon,1.95,SP003,Billable,Answered,Essentials,USD,Alaska,Illinois,99588,61410,62.1278,-145.7693,40.8038,-90.4009,United States,United States
8300313,sms,1011231016,1011231010,2024-08-15 09:09:20.067364,2024-08-15 09:25:20.067364,0:16:00,Hurstbourne Acres,Red Oak,3.78,SP001,Non-Billable,Failed,Go5GPlus,USD,Kentucky,Oklahoma,40220,74563,38.2201,-85.5907,34.9515,-95.0791,United States,United States
7337517,sms,1011231016,1011231011,2024-08-15 09:57:20.197504,2024-08-15 10:40:55.197504,0:43:35,Kernville,Ponshewaing,2.9,SP003,Non-Billable,Missed,Go5GNext,USD,California,Michigan,93238,49706,35.7533,-118.4321,45.4208,-84.806,United States,United States
3907874,voice,1011231013,1011231000,2024-08-15 09:51:20.334768,2024-08-15 10:50:11.334768,0:58:51,St. Thomas,Hickory Creek,3.97,SP002,Non-Billable,Failed,Essentials,USD,Missouri,Texas,65076,75065,38.367,-92.216,33.1109,-97.0308,United States,United States
